"","gene_id","NK1.count.txt","NK2.count.txt","T4.count.txt","T5.count.txt","T6.count.txt","symbols"
"288","ENSG00000011132",48,126,49,54,64,"APBA3"
"289","ENSG00000011143",58,88,113,63,134,"MKS1"
"290","ENSG00000011198",101,319,197,106,284,"ABHD5"
"291","ENSG00000011201",112,395,240,131,125,"ANOS1"
"292","ENSG00000011243",320,660,527,353,524,"AKAP8L"
"293","ENSG00000011258",243,616,574,385,656,"MBTD1"
"294","ENSG00000011260",86,293,182,119,141,"UTP18"
"295","ENSG00000011275",270,768,642,363,621,"RNF216"
"296","ENSG00000011295",157,418,419,176,452,"TTC19"
"297","ENSG00000011304",641,1935,1345,990,1986,"PTBP1"
"298","ENSG00000011332",15,2,9,14,14,"DPF1"
"299","ENSG00000011347",88,125,337,41,117,"SYT7"
"300","ENSG00000011376",100,225,196,105,204,"LARS2"
"301","ENSG00000011405",886,2348,2326,1011,2369,"PIK3C2A"
"302","ENSG00000011422",107,410,150,66,86,"PLAUR"
"303","ENSG00000011426",178,485,276,180,499,"ANLN"
"304","ENSG00000011451",201,529,348,257,427,"WIZ"
"305","ENSG00000011454",355,1067,669,511,927,"RABGAP1"
"306","ENSG00000011465",4059,29321,4191,11159,13103,"DCN"
"307","ENSG00000011478",36,69,37,17,38,"QPCTL"
"308","ENSG00000011485",126,262,233,246,309,"PPP5C"
"309","ENSG00000011523",81,143,182,158,184,"CEP68"
"310","ENSG00000011566",216,665,632,528,890,"MAP4K3"
"311","ENSG00000011590",11,5,1,2,0,"ZBTB32"
"312","ENSG00000011600",278,1282,380,113,117,"TYROBP"
"313","ENSG00000011638",49,124,64,34,27,"LDAF1"
"314","ENSG00000011677",11,46,44,38,152,"GABRA3"
"315","ENSG00000012048",91,201,173,122,220,"BRCA1"
"316","ENSG00000012061",138,365,233,164,227,"ERCC1"
"317","ENSG00000012124",174,349,440,15,196,"CD22"
"318","ENSG00000012171",53,248,129,83,232,"SEMA3B"
"319","ENSG00000012174",148,517,410,351,561,"MBTPS2"
"320","ENSG00000012211",50,118,75,54,83,"PRICKLE3"
"321","ENSG00000012223",14,21,13,1,2,"LTF"
"322","ENSG00000012232",418,868,697,249,538,"EXTL3"
"323","ENSG00000012504",7,24,83,4,39,"NR1H4"
"324","ENSG00000012660",540,1677,1086,652,1266,"ELOVL5"
"325","ENSG00000012779",169,525,424,11,35,"ALOX5"
"326","ENSG00000012817",0,0,6,13,10,"KDM5D"
"327","ENSG00000012822",453,1298,921,476,820,"CALCOCO1"
"328","ENSG00000012963",96,289,205,110,183,"UBR7"
"329","ENSG00000012983",360,998,938,548,1265,"MAP4K5"
"330","ENSG00000013016",36,135,88,73,155,"EHD3"
"331","ENSG00000013275",102,299,175,151,242,"PSMC4"
"332","ENSG00000013288",206,777,351,176,443,"MAN2B2"
"333","ENSG00000013293",35,11,12,10,3,"SLC7A14"
"334","ENSG00000013297",20,68,91,62,48,"CLDN11"
"335","ENSG00000013306",163,397,231,144,308,"SLC25A39"
"336","ENSG00000013364",178,653,280,113,260,"MVP"
"337","ENSG00000013374",212,607,462,216,339,"NUB1"
"338","ENSG00000013375",317,1239,646,881,1330,"PGM3"
"339","ENSG00000013392",45,76,78,63,113,"RWDD2A"
"340","ENSG00000013441",435,1266,777,437,801,"CLK1"
"341","ENSG00000013503",128,298,278,225,453,"POLR3B"
"342","ENSG00000013523",96,342,174,137,237,"ANGEL1"
"343","ENSG00000013561",124,488,263,202,316,"RNF14"
"344","ENSG00000013563",111,323,129,42,113,"DNASE1L1"
"345","ENSG00000013573",134,291,207,150,202,"DDX11"
"346","ENSG00000013583",133,577,317,232,490,"HEBP1"
"347","ENSG00000013588",353,1103,872,173,412,"GPRC5A"
"348","ENSG00000013619",25,34,85,164,90,"MAMLD1"
"349","ENSG00000013725",20,11,4,4,8,"CD6"
"350","ENSG00000013810",59,200,108,89,193,"TACC3"
"351","ENSG00000014123",235,778,490,345,764,"UFL1"
"352","ENSG00000014138",29,31,28,19,35,"POLA2"
"353","ENSG00000014164",63,200,117,78,124,"ZC3H3"
"354","ENSG00000014216",470,1380,705,331,807,"CAPN1"
"355","ENSG00000014257",41,163,123,46,208,"ACP3"
"356","ENSG00000014641",203,667,317,274,459,"MDH1"
"357","ENSG00000014824",271,949,792,542,980,"SLC30A9"
"358","ENSG00000014914",89,261,183,80,245,"MTMR11"
"359","ENSG00000014919",85,267,192,112,261,"COX15"
"360","ENSG00000015133",177,447,314,138,160,"CCDC88C"
"361","ENSG00000015153",230,488,558,250,475,"YAF2"
"362","ENSG00000015171",320,1010,834,681,1086,"ZMYND11"
"363","ENSG00000015285",147,533,302,41,49,"WAS"
"364","ENSG00000015413",15,23,27,6,317,"DPEP1"
"365","ENSG00000015475",96,259,109,83,91,"BID"
"366","ENSG00000015479",297,586,446,291,532,"MATR3"
"367","ENSG00000015520",11,34,42,39,188,"NPC1L1"
"368","ENSG00000015532",70,248,96,113,241,"XYLT2"
"369","ENSG00000015568",2,3,0,1,1,"RGPD5"
"370","ENSG00000015592",29,6,10,9,11,"STMN4"
"371","ENSG00000015676",158,472,306,190,371,"NUDCD3"
"372","ENSG00000016082",39,99,52,45,35,"ISL1"
"373","ENSG00000016391",35,43,110,19,184,"CHDH"
"374","ENSG00000016402",6,10,13,8,16,"IL20RA"
"375","ENSG00000016490",83,582,1881,83,809,"CLCA1"
"376","ENSG00000016602",3,3,6,2,3,"CLCA4"
"377","ENSG00000016864",133,516,246,235,427,"GLT8D1"
"378","ENSG00000017260",384,1235,924,613,1118,"ATP2C1"
